Fs = 100.0
176. Vre[176] = 27.481156909249677
177. Vre[177] = 20.072237776675344
178. Vre[178] = 16.969661336030875
179. Vre[179] = 15.628414129986119
180. Vre[180] = 15.365481084829879
181. Vre[181] = 16.07675634730757
182. Vre[182] = 18.098597943130812
183. Vre[183] = 22.715872266601938
184. Vre[184] = 35.62360133719116
185. Vre[185] = 154.35394005899212
186. Vre[186] = -43.82340981600525
187. Vre[187] = -15.38774353862136
188. Vre[188] = -7.3508002594688175
189. Vre[189] = -3.1688862084365663
190. Vre[190] = -0.09509595462502318
191. Vre[191] = 2.97527611064859
192. Vre[192] = 7.146590403524499
193. Vre[193] = 15.164648093800553
194. Vre[194] = 43.57104994266468
195. Vre[195] = 78.79450768516227
196. Vre[196] = -35.982227261847974
197. Vre[197] = -23.167523189293604
198. Vre[198] = -18.691159042191934
199. Vre[199] = -16.892072625084502
200. Vre[200] = -16.555732105645916
201. Vre[201] = -17.5109065761998
202. Vre[202] = -20.32895231141618
203. Vre[203] = -27.49945405952402
204. Vre[204] = -55.43319342595487
205. Vre[205] = -90.49537290047896
206. Vre[206] = 24.15067150798577
207. Vre[207] = 10.89497523425208
208. Vre[208] = 5.60497785386964
209. Vre[209] = 2.4901555901402688
210. Vre[210] = 0.08143513487156895
211. Vre[211] = -2.3232434474797046
212. Vre[212] = -5.425510405272284
213. Vre[213] = -10.693059066872173
214. Vre[214] = -23.913776667113687
215. Vre[215] = -142.65969573698757
216. Vre[216] = 55.798935354099214
217. Vre[217] = 27.980151806263375
218. Vre[218] = 20.987280266803513
219. Vre[219] = 18.45791873821912
220. Vre[220] = 18.00848148573334
221. Vre[221] = 19.337823829491178
222. Vre[222] = 23.490050911484992
223. Vre[223] = 36.049660515675775
224. Vre[224] = 154.48874424007818
225. Vre[225] = -43.962754989083166
226. Vre[226] = -15.8183443362646
227. Vre[227] = -8.129521778024577
228. Vre[228] = -4.412656850787316
229. Vre[229] = -2.031368359777119
230. Vre[230] = -0.12171194941703689
231. Vre[231] = 1.7831700897585065
232. Vre[232] = 4.149599044803802
233. Vre[233] = 7.8397887516361475
234. Vre[234] = 248.93079104827973
235. Vre[235] = 43.56839523726374
236. Vre[236] = -154.97694506881578
237. Vre[237] = -36.68073657568054
238. Vre[238] = -24.347159033311193
