Fs = 100.0
204. Vim[204] = 12.770871743786735
205. Vim[205] = 6.236513941441872
206. Vim[206] = -1.9335382182245229
207. Vim[207] = -11.22917419186958
208. Vim[208] = -20.98373229235836
209. Vim[209] = -30.42385668719707
210. Vim[210] = -38.73225092621881
211. Vim[211] = -45.118125968380795
212. Vim[212] = -48.88922177850693
213. Vim[213] = -49.51889907298093
214. Vim[214] = -46.70200305019814
215. Vim[215] = -40.39399204073084
216. Vim[216] = -30.829144689330313
217. Vim[217] = -18.515402843158796
218. Vim[218] = -4.205425354464502
219. Vim[219] = 11.154456848544765
220. Vim[220] = 26.493672382371436
221. Vim[221] = 40.69977394133761
222. Vim[222] = 52.70698530289381
223. Vim[223] = 61.58345689703896
224. Vim[224] = 66.60968430490358
225. Vim[225] = 67.34114481747179
226. Vim[226] = 63.64944033958934
227. Vim[227] = 55.73800199321083
228. Vim[228] = 44.13056382042945
229. Vim[229] = 29.632963304130914
230. Vim[230] = 13.271166928075749
231. Vim[231] = -3.7894611256581583
232. Vim[232] = -20.33692412111436
233. Vim[233] = -35.20953856987024
234. Vim[234] = -47.38876222241701
235. Vim[235] = -56.079894974141304
236. Vim[236] = -60.773650667451555
237. Vim[237] = -61.2832411862197
238. Vim[238] = -57.75375292336908
239. Vim[239] = -50.64304181863268
240. Vim[240] = -40.675908439527
241. Vim[241] = -28.775709862785696
242. Vim[242] = -15.979601209518876
243. Vim[243] = -3.34508757290441
244. Vim[244] = 8.143634363617782
245. Vim[245] = 17.661036118073138
246. Vim[246] = 24.609559100591717
247. Vim[247] = 28.666565679405846
248. Vim[248] = 29.80470359152544
249. Vim[249] = 28.283909795601073
250. Vim[250] = 24.61592419268736
251. Vim[251] = 19.504767245974612
252. Vim[252] = 13.768918151606666
253. Vim[253] = 8.252696457541782
254. Vim[254] = 3.7354295956709755
255. Vim[255] = 0.8472728193195578
256. Vim[256] = -0.0
257. Vim[257] = -0.029646266632309036
258. Vim[258] = -0.05305053897653742
259. Vim[259] = 0.034028667877677686
260. Vim[260] = 0.3239934533814643
261. Vim[261] = 0.8743077417926821
262. Vim[262] = 1.6897789851812213
263. Vim[263] = 2.713501926748915
264. Vim[264] = 3.828425296035031
265. Vim[265] = 4.869847178552575
266. Vim[266] = 5.647399879418636
267. Vim[267] = 5.973512018048596
268. Vim[268] = 5.6941752353344945
269. Vim[269] = 4.717280173213418
270. Vim[270] = 3.0339225062694988
271. Vim[271] = 0.7289160611949713
272. Vim[272] = -2.0218144268062717
273. Vim[273] = -4.967444441653266
274. Vim[274] = -7.810551464148768
275. Vim[275] = -10.24413003091819
276. Vim[276] = -11.992486605528466
277. Vim[277] = -12.850358718755547
278. Vim[278] = -12.71455794924919
279. Vim[279] = -11.603206312561422
280. Vim[280] = -9.659144240328182
281. Vim[281] = -7.1361524977530015
282. Vim[282] = -4.368982438663881
283. Vim[283] = -1.730511203613111
284. Vim[284] = 0.4186945165591488
285. Vim[285] = 1.7817989268035748
286. Vim[286] = 2.1710245179379255
287. Vim[287] = 1.5402932327456094
288. Vim[288] = 2.3946075503471108E-15
289. Vim[289] = -2.1890775927345993
290. Vim[290] = -4.643036513701797
291. Vim[291] = -6.900718552713582
292. Vim[292] = -8.482998765519172
293. Vim[293] = -8.958236673415517
294. Vim[294] = -8.005455045969999
295. Vim[295] = -5.4667056769406495
296. Vim[296] = -1.3811077172516997
297. Vim[297] = 4.004889447119622
298. Vim[298] = 10.253592814907876
299. Vim[299] = 16.77774245951296
300. Vim[300] = 22.903647080850387
301. Vim[301] = 27.94867831585069
302. Vim[302] = 31.303861493057852
303. Vim[303] = 32.51125714595948
304. Vim[304] = 31.326079720841214
305. Vim[305] = 27.75506123133631
306. Vim[306] = 22.065281910214708
307. Vim[307] = 14.761246050395124
308. Vim[308] = 6.531948754339734
309. Vim[309] = -1.8264393908978864
310. Vim[310] = -9.503350006534136
311. Vim[311] = -15.770875531586478
312. Vim[312] = -20.073019891503236
313. Vim[313] = -22.095658546384012
314. Vim[314] = -21.807814789008702
315. Vim[315] = -19.468210792787744
316. Vim[316] = -15.595276155500015
317. Vim[317] = -10.903381038471602
318. Vim[318] = -6.212432046380297
319. Vim[319] = -2.3415640142246668
320. Vim[320] = -3.463564901450859E-15
321. Vim[321] = 0.3110985184522303
322. Vim[322] = -1.6270502637777877
323. Vim[323] = -5.710568030462571
324. Vim[324] = -11.512876001997173
325. Vim[325] = -18.326194151992542
326. Vim[326] = -25.24067175655045
327. Vim[327] = -31.252377950142613
328. Vim[328] = -35.38748527103048
329. Vim[329] = -36.82756786160798
330. Vim[330] = -35.02035216172501
331. Vim[331] = -29.761623225716004
332. Vim[332] = -21.237183555143776
333. Vim[333] = -10.018429935900308
334. Vim[334] = 2.989290509327835
335. Vim[335] = 16.64053850854526
336. Vim[336] = 29.675478797059473
337. Vim[337] = 40.86282679853908
338. Vim[338] = 49.142959736268736
339. Vim[339] = 53.75367251873285
340. Vim[340] = 54.32279267126422
341. Vim[341] = 50.91560380569337
342. Vim[342] = 44.0303436822024
343. Vim[343] = 34.54131408199353
344. Vim[344] = 23.59560581318584
345. Vim[345] = 12.47530269865932
346. Vim[346] = 2.4415410834769222
347. Vim[347] = -5.420623863565206
348. Vim[348] = -10.337318152933316
349. Vim[349] = -11.943794281276919
350. Vim[350] = -10.332375949563646
351. Vim[351] = -6.043514013960986
352. Vim[352] = -2.4472001002864756E-14
353. Vim[353] = 6.608546725478351
354. Vim[354] = 12.477472251326981
355. Vim[355] = 16.35692695531547
356. Vim[356] = 17.218891812961765
357. Vim[357] = 14.400445509409087
358. Vim[358] = 7.70483281701312
359. Vim[359] = -2.5532620061169853
360. Vim[360] = -15.56520785283287
361. Vim[361] = -30.108035105755985
362. Vim[362] = -44.67781574774097
363. Vim[363] = -57.661655800547386
364. Vim[364] = -67.52806252553589
365. Vim[365] = -73.01276830334618
366. Vim[366] = -73.27718597966371
367. Vim[367] = -68.01957646798962
368. Vim[368] = -57.524421377025305
369. Vim[369] = -42.6427892114377
370. Vim[370] = -24.70479755105184
371. Vim[371] = -5.373599064038267
372. Vim[372] = 13.542369014101926
373. Vim[373] = 30.296751921438943
374. Vim[374] = 43.40738695409882
375. Vim[375] = 51.82853688960569
376. Vim[376] = 55.071911241551966
377. Vim[377] = 53.2610948164402
378. Vim[378] = 47.111941522617684
379. Vim[379] = 37.84046762976129
380. Vim[380] = 27.008704500345342
381. Vim[381] = 16.32674695933978
382. Vim[382] = 7.434884962342109
383. Vim[383] = 1.6925044842050407
384. Vim[384] = -0.0
385. Vim[385] = -0.044380102848980606
386. Vim[386] = -0.07893655833786738
387. Vim[387] = 0.05012021444381929
388. Vim[388] = 0.47036558985454086
389. Vim[389] = 1.2455520953461316
390. Vim[390] = 2.351128159473717
391. Vim[391] = 3.6687781758784
392. Vim[392] = 5.00207870559525
393. Vim[393] = 6.111047969568099
394. Vim[394] = 6.759364410016248
395. Vim[395] = 6.765135281801369
396. Vim[396] = 6.044904187532096
397. Vim[397] = 4.641383569118929
398. Vim[398] = 2.728100457996345
399. Vim[399] = 0.5883037133485426
400. Vim[400] = -1.4296386914955075
401. Vim[401] = -2.9734210339949785
402. Vim[402] = -3.7540005407682315
403. Vim[403] = -3.606435360054299
404. Vim[404] = -2.5323843545782583
405. Vim[405] = -0.7149586273648729
406. Vim[406] = 1.498845649077568
407. Vim[407] = 3.6472328996537824
408. Vim[408] = 5.227491193615211
409. Vim[409] = 5.783030296281894
410. Vim[410] = 4.9888438094549254
411. Vim[411] = 2.7200532451496247
412. Vim[412] = -0.9097121482502811
413. Vim[413] = -5.5487846191665025
414. Vim[414] = -10.649123491152057
415. Vim[415] = -15.544443340897645
416. Vim[416] = -19.553454530843748
417. Vim[417] = -22.091892560247096
418. Vim[418] = -22.774624975355692
419. Vim[419] = -21.489855219064932
420. Vim[420] = -18.431306657666116
421. Vim[421] = -14.080741392177636
422. Vim[422] = -9.141250945419447
423. Vim[423] = -4.430135785433191
424. Vim[424] = -0.7474501104584377
425. Vim[425] = 1.258855884963279
426. Vim[426] = 1.208736712623601
427. Vim[427] = -0.9334674604551664
428. Vim[428] = -4.836431295540418
429. Vim[429] = -9.839303234228122
430. Vim[430] = -15.045635831538595
431. Vim[431] = -19.46064157835692
432. Vim[432] = -22.150883398597205
433. Vim[433] = -22.40094087080867
434. Vim[434] = -19.841082150477327
435. Vim[435] = -14.523751475917681
436. Vim[436] = -6.934279811557968
437. Vim[437] = 2.0684832517456857
438. Vim[438] = 11.374545309638542
439. Vim[439] = 19.790472547078565
440. Vim[440] = 26.226664383464943
441. Vim[441] = 29.874336575009803
442. Vim[442] = 30.343002189441346
443. Vim[443] = 27.734708943417807
444. Vim[444] = 22.640831755293405
445. Vim[445] = 16.059394325258115
446. Vim[446] = 9.243789301858346
447. Vim[447] = 3.5052930295617717
448. Vim[448] = 5.195347352176288E-15
449. Vim[449] = -0.4657107222407832
450. Vim[450] = 2.420969711959764
451. Vim[451] = 8.410993204660707
452. Vim[452] = 16.714105347140336
453. Vim[453] = 26.10777468232338
454. Vim[454] = 35.11941777669484
455. Vim[455] = 42.254638199265976
456. Vim[456] = 46.235977675236676
457. Vim[457] = 46.213982811613015
458. Vim[458] = 41.91580675752821
459. Vim[459] = 33.70570055264472
460. Vim[460] = 22.545273810200044
461. Vim[461] = 9.857242814810691
462. Vim[462] = -2.6879674054723504
463. Vim[463] = -13.430477276968693
464. Vim[464] = -20.98373229235839
465. Vim[465] = -24.459737826646204
466. Vim[466] = -23.619676315007908
467. Vim[467] = -18.92392469826556
468. Vim[468] = -11.471031386792658
469. Vim[469] = -2.832804204542688
470. Vim[470] = 5.190482383963325
471. Vim[471] = 10.857362501667895
472. Vim[472] = 12.76984984668304
473. Vim[473] = 10.109797048808975
474. Vim[474] = 2.787941423623287
475. Vim[475] = -8.520248525430757
476. Vim[476] = -22.460250927893583
477. Vim[477] = -37.19473673795959
478. Vim[478] = -50.681485416121504
479. Vim[479] = -60.99037454217851
480. Vim[480] = -66.60968430490358
481. Vim[481] = -66.69261278046521
482. Vim[482] = -61.20342804235632
483. Vim[483] = -50.93788268764054
484. Vim[484] = -37.4120855233263
485. Vim[485] = -22.634917623004164
486. Vim[486] = -8.797977112903277
487. Vim[487] = 2.069124999832804
488. Vim[488] = 8.423829787918091
489. Vim[489] = 9.463851044582805
490. Vim[490] = 5.266809118420487
491. Vim[491] = -3.2081359894314994
492. Vim[492] = -14.259512197896878
493. Vim[493] = -25.704069408521107
494. Vim[494] = -35.2193564124492
495. Vim[495] = -40.715269545327175
496. Vim[496] = -40.675908439527
497. Vim[497] = -34.416735446192405
498. Vim[498] = -22.214532300827553
499. Vim[499] = -5.2871429058813515
500. Vim[500] = 14.376502264008872
501. Vim[501] = 34.311745708124654
502. Vim[502] = 51.95423606864251
503. Vim[503] = 65.03831917350804
504. Vim[504] = 71.9549196331708
505. Vim[505] = 72.01142566353772
506. Vim[506] = 65.55071008261261
507. Vim[507] = 53.908105226755175
508. Vim[508] = 39.21056148179178
509. Vim[509] = 24.047372695093816
510. Vim[510] = 11.062738322504343
511. Vim[511] = 2.53365875754222
512. Vim[512] = -0.0
513. Vim[513] = -0.059007023510651076
514. Vim[514] = -0.10406237549129153
515. Vim[515] = 0.06512680972676944
516. Vim[516] = 0.5986618404935692
517. Vim[517] = 1.5421411781427148
518. Vim[518] = 2.809999755371237
519. Vim[519] = 4.195130709193678
520. Vim[520] = 5.414210976184973
521. Vim[521] = 6.178796689954063
522. Vim[522] = 6.27505453392697
523. Vim[523] = 5.6317881453979775
524. Vim[524] = 4.358133047092195
525. Vim[525] = 2.7387083052002623
526. Vim[526] = 1.1837778374401913
527. Vim[527] = 0.14289253571723642
528. Vim[528] = -2.4760085662582415E-16
529. Vim[529] = 0.9737893978336485
530. Vim[530] = 3.0475260005286495
531. Vim[531] = 5.947427959555662
532. Vim[532] = 9.178651873591996
533. Vim[533] = 12.115234334129745
534. Vim[534] = 14.12765984521121
535. Vim[535] = 14.721992318908363
536. Vim[536] = 13.66009278559008
537. Vim[537] = 11.032640955107352
538. Vim[538] = 7.265352268864971
539. Vim[539] = 3.0523492573189364
540. Vim[540] = -0.7736465884474112
541. Vim[541] = -3.410150526445404
542. Vim[542] = -4.258617781176072
543. Vim[543] = -3.0657525996499477
544. Vim[544] = -4.7892151006942215E-15
545. Vim[545] = 4.357073171579627
546. Vim[546] = 9.107643738026908
547. Vim[547] = 13.207151857254438
548. Vim[548] = 15.674537867563352
549. Vim[549] = 15.80091882670083
550. Vim[550] = 13.312585206756262
551. Vim[551] = 8.45164126746508
552. Vim[552] = 1.9531812648354998
553. Vim[553] = -5.08134993814109
554. Vim[554] = -11.393181898932975
555. Vim[555] = -15.817946093442805
556. Vim[556] = -17.529692557157016
557. Vim[557] = -16.22614612921102
558. Vim[558] = -12.214160838057893
559. Vim[559] = -6.373320907931871
560. Vim[560] = -1.15090149779889E-14
561. Vim[561] = 5.440943463134848
562. Vim[562] = 8.609445906480875
563. Vim[563] = 8.569927091225303
564. Vim[564] = 4.999337138687207
565. Vim[565] = -1.7219551377594526
566. Vim[566] = -10.55955675519401
567. Vim[567] = -20.009875045238452
568. Vim[568] = -28.387536968348783
569. Vim[569] = -34.16035006057706
570. Vim[570] = -36.265070615565556
571. Vim[571] = -34.33885815395131
572. Vim[572] = -28.816312887855535
573. Vim[573] = -20.86777022314243
574. Vim[574] = -12.186123813190227
575. Vim[575] = -4.660577486963255
576. Vim[576] = -6.927129802901718E-15
577. Vim[577] = 0.6192009881080165
578. Vim[578] = -3.1915738983788953
579. Vim[579] = -10.929345776584947
580. Vim[580] = -21.27302099717112
581. Vim[581] = -32.324520634437384
582. Vim[582] = -41.97370311934963
583. Vim[583] = -48.31682969580669
584. Vim[584] = -50.045461608569454
585. Vim[585] = -46.726323446970056
586. Vim[586] = -38.91253042183619
587. Vim[587] = -28.059064142494716
588. Vim[588] = -16.25423659329975
589. Vim[589] = -5.816393401078534
590. Vim[590] = 1.1663632961290498
591. Vim[591] = 3.2621159963030744
592. Vim[592] = 1.8170990060992016E-14
593. Vim[593] = -8.010514857149818
594. Vim[594] = -19.174631679548494
595. Vim[595] = -31.207734956684902
596. Vim[596] = -41.57686551019308
597. Vim[597] = -48.002898975058386
598. Vim[598] = -48.92389659890867
599. Vim[599] = -43.825555359607655
600. Vim[600] = -33.36922575341682
601. Vim[601] = -19.287078789856036
602. Vim[602] = -4.060134436198585
603. Vim[603] = 9.561126902624583
604. Vim[604] = 19.100873325104935
605. Vim[605] = 22.858997018883134
606. Vim[606] = 20.267684485848754
607. Vim[607] = 12.028825684246712
608. Vim[608] = 4.894400200572951E-14
609. Vim[609] = -13.15344953339123
610. Vim[610] = -24.475442241482526
611. Vim[611] = -31.3052063443336
612. Vim[612] = -31.816363437043076
613. Vim[613] = -25.400118221675307
614. Vim[614] = -12.812668710435657
615. Vim[615] = 3.9473964418046865
616. Vim[616] = 22.012528046632436
617. Vim[617] = 38.200670540909734
618. Vim[618] = 49.643329011558635
619. Vim[619] = 54.36303276872385
620. Vim[620] = 51.68374149647305
621. Vim[621] = 42.38897576478354
622. Vim[622] = 28.591339618416594
623. Vim[623] = 13.334168743640445
624. Vim[624] = 4.9312968958524334E-14
625. Vim[625] = -8.35944850836266
626. Vim[626] = -9.639333819155867
627. Vim[627] = -3.119746939998462
628. Vim[628] = 10.364880513342325
629. Vim[629] = 28.563579984386166
630. Vim[630] = 48.231704169721404
631. Vim[631] = 65.75935146158714
632. Vim[632] = 77.88344378361
633. Vim[633] = 82.34276610130432
634. Vim[634] = 78.34429550526221
635. Vim[635] = 66.74462611114414
636. Vim[636] = 49.90557857502907
637. Vim[637] = 31.247445433370846
638. Vim[638] = 14.584051465112935
639. Vim[639] = 3.368709225010122
640. Vim[640] = -0.0
641. Vim[641] = -0.07349179108427954
642. Vim[642] = -0.12818601508245359
643. Vim[643] = 0.07872360625751301
644. Vim[644] = 0.7039518523358578
645. Vim[645] = 1.7462981839272442
646. Vim[646] = 3.0268760591510353
647. Vim[647] = 4.231022667938289
648. Vim[648] = 5.00207870559525
649. Vim[649] = 5.060084134641991
650. Vim[650] = 4.308843646815253
651. Vim[651] = 2.8959563537350674
652. Vim[652] = 1.2024062025252196
653. Vim[653] = -0.24188129458804256
654. Vim[654] = -0.8979551723955395
655. Vim[655] = -0.37655094305952264
656. Vim[656] = 1.4296386914955073
657. Vim[657] = 4.281335014495523
658. Vim[658] = 7.62066059686717
659. Vim[659] = 10.69219275810662
660. Vim[660] = 12.731155875012881
661. Vim[661] = 13.171909062804957
662. Vim[662] = 11.820619850962924
663. Vim[663] = 8.941692703127748
664. Vim[664] = 5.22749119361522
665. Vim[665] = 1.6505392915083377
666. Vim[666] = -0.7708029324400385
667. Vim[667] = -1.2367325018077258
668. Vim[668] = 0.6078502241165117
669. Vim[669] = 4.548038609747434
670. Vim[670] = 9.814288417817066
671. Vim[671] = 15.243584640641528
672. Vim[672] = 19.553454530843748
673. Vim[673] = 21.664309665439497
674. Vim[674] = 20.989214586672045
675. Vim[675] = 17.614071902627032
676. Vim[676] = 12.31540537759225
677. Vim[677] = 6.402121193880379
678. Vim[678] = 1.4123719450878955
679. Vim[679] = -1.2644085896066986
680. Vim[680] = -0.7474501104584366
681. Vim[681] = 3.0862582101444658
682. Vim[682] = 9.532680825820455
683. Vim[683] = 17.197566448733955
684. Vim[684] = 24.31438205302383
685. Vim[685] = 29.1711111617553
686. Vim[686] = 30.542799046255645
687. Vim[687] = 28.020763034027663
688. Vim[688] = 22.15088339859724
689. Vim[689] = 14.337994506803705
690. Vim[690] = 6.530698783735841
691. Vim[691] = 0.7568915080933184
692. Vim[692] = -1.3793140133899682
693. Vim[693] = 0.885457121840799
694. Vim[694] = 7.250849979359285
695. Vim[695] = 16.386953048188502
696. Vim[696] = 26.226664383464936
697. Vim[697] = 34.452613153211736
698. Vim[698] = 39.064015510981804
699. Vim[699] = 38.88482227327633
700. Vim[700] = 33.88439927651183
701. Vim[701] = 25.224421914891902
702. Vim[702] = 15.011099290588186
703. Vim[703] = 5.804634204980268
704. Vim[704] = 8.658912253627147E-15
705. Vim[705] = -0.7711995445592965
706. Vim[706] = 3.9314414834648868
707. Vim[707] = 13.211111018300526
708. Vim[708] = 25.014426380328242
709. Vim[709] = 36.60381583754899
710. Vim[710] = 45.21324133321418
711. Vim[711] = 48.73021029782508
712. Vim[712] = 46.235977675236704
713. Vim[713] = 38.26620939455471
714. Vim[714] = 26.719769299711057
715. Vim[715] = 14.428423617056222
716. Vim[716] = 4.484533786809494
717. Vim[717] = -0.5137008432095028
718. Vim[718] = 0.8847453648196034
719. Vim[719] = 8.596340239970335
720. Vim[720] = 20.98373229235837
721. Vim[721] = 35.21880379715431
722. Vim[722] = 47.948191442641985
723. Vim[723] = 56.10477671522835
724. Vim[724] = 57.66876910623792
725. Vim[725] = 52.18964838915775
726. Vim[726] = 40.93464803511285
727. Vim[727] = 26.618316331154176
728. Vim[728] = 12.769849846683192
729. Vim[729] = 2.8854452429485833
730. Vim[730] = -0.43075179478000997
731. Vim[731] = 3.8739198556754544
732. Vim[732] = 15.007459872325544
733. Vim[733] = 30.486513781650757
734. Vim[734] = 46.70832446731217
735. Vim[735] = 59.80992153974671
736. Vim[736] = 66.60968430490358
