Fs = 100.0
176. Vim[176] = -135.15206130694006
177. Vim[177] = -44.265670529159244
178. Vim[178] = -28.80353858788045
179. Vim[179] = -23.54982925477836
180. Vim[180] = -21.997894346485367
181. Vim[181] = -22.98044658756709
182. Vim[182] = -27.428913148621774
183. Vim[183] = -41.2440193195381
184. Vim[184] = -126.48646391158033
185. Vim[185] = 290.03542029891554
186. Vim[186] = -6.9875105119578835
187. Vim[187] = 1.522843630467904
188. Vim[188] = 0.5541720433183657
189. Vim[189] = -1.0387442423409752
190. Vim[190] = -2.8554335388328558
191. Vim[191] = -5.205860921564923
192. Vim[192] = -8.916308108167586
193. Vim[193] = -16.614072774558426
194. Vim[194] = -44.78293551454609
195. Vim[195] = 153.62361588592185
196. Vim[196] = 35.10909962464286
197. Vim[197] = 22.425427341708346
198. Vim[198] = 18.066167030388378
199. Vim[199] = 16.375965135644194
200. Vim[200] = 16.14488046392921
201. Vim[201] = 17.205807237058355
202. Vim[202] = 20.13429132151034
203. Vim[203] = 27.42471810651262
204. Vim[204] = 55.49399053684589
205. Vim[205] = -142.72815982095923
206. Vim[206] = -23.733527487326903
207. Vim[207] = -10.223409047606498
208. Vim[208] = -4.585118150274532
209. Vim[209] = -0.9596726955642682
210. Vim[210] = 2.2665626120240217
211. Vim[211] = 6.149392548336266
212. Vim[212] = 12.46941057443035
213. Vim[213] = 27.516021228465892
214. Vim[214] = 113.54682268696132
215. Vim[215] = -302.52688586301383
216. Vim[216] = -5.346791724818957
217. Vim[217] = -13.979197070938344
218. Vim[218] = -13.433275789028205
219. Vim[219] = -12.623644892223236
220. Vim[220] = -12.063486977510392
221. Vim[221] = -11.628377968287804
222. Vim[222] = -10.696875282150376
223. Vim[223] = -5.551671878002321
224. Vim[224] = 93.83543530231279
225. Vim[225] = -203.18797900698743
226. Vim[226] = 122.45618510223093
227. Vim[227] = 31.098898255740853
228. Vim[228] = 14.758405517041924
229. Vim[229] = 8.05717258802873
230. Vim[230] = 4.163066387577367
231. Vim[231] = 1.1939538171969692
232. Vim[232] = -1.7969930605594269
233. Vim[233] = -5.872289777173725
234. Vim[234] = -13.760414137164984
235. Vim[235] = -41.98895743768998
236. Vim[236] = 156.4761440106989
237. Vim[237] = 38.15085676541201
238. Vim[238] = 25.83090300492341
239. Vim[239] = 22.111030685953708
240. Vim[240] = 21.572119901999802
241. Vim[241] = 23.641092156053496
242. Vim[242] = 30.43344629021383
243. Vim[243] = 58.21164211699282
244. Vim[244] = -140.1647115257936
245. Vim[245] = -21.218856949178917
246. Vim[246] = -7.661177203974666
247. Vim[247] = -1.8698996632522757
248. Vim[248] = 2.045405373404107
249. Vim[249] = 5.768495739863888
250. Vim[250] = 10.509619153879205
251. Vim[251] = 18.42825543287136
252. Vim[252] = 36.96243328740924
253. Vim[253] = 133.62176483081322
254. Vim[254] = -168.48714009221297
255. Vim[255] = -82.45704471112961
256. Vim[256] = -181.37664995575784
257. Vim[257] = 25.462718042765548
258. Vim[258] = 2.177551571525023
259. Vim[259] = -1.9703421436345585
260. Vim[260] = -2.2778042850317757
261. Vim[261] = 0.19613779351933877
262. Vim[262] = 10.224642315226543
263. Vim[263] = 124.35808014392431
264. Vim[264] = -82.27796820161637
265. Vim[265] = -73.76886704828944
266. Vim[266] = -165.12692728306973
267. Vim[267] = 135.6660960185824
268. Vim[268] = 38.575949793186766
269. Vim[269] = 19.933964916416148
270. Vim[270] = 12.080002226695768
271. Vim[271] = 7.545065701876552
272. Vim[272] = 4.210788348841099
273. Vim[273] = 1.0291620190803892
274. Vim[274] = -3.1061396066960674
275. Vim[275] = -10.936042943760528
276. Vim[276] = -38.97569101798593
277. Vim[277] = 159.85279030839666
278. Vim[278] = 42.16654746392585
279. Vim[279] = 30.9975361813788
280. Vim[280] = 29.57736701745395
281. Vim[281] = 34.76952458731863
